id,ru,en,kz
1,Загрузка,Loading,Жүктелуде
2,Регистрация,Registration,Тіркелу
3,Имя,Name,Аты
4,Электронная почта,Email,Электрондық пошта
5,Пароль,Password,Құпиясөз
6,Я соглашаюсь с Политикой конфиденциальности и Условиями использования,I agree with Privacy Policy and Terms of use,Құпиялық саясаты мен Пайдалану шарттарымен келісемін
7,Зарегистрироваться,Register,Тіркелу
8,"""Уже есть аккаунт?""","""Already have an account?""","""Аккаунтыңыз бар ма?"""
9,"""Электронная почта не существует""","""Email doesn’t exist""","""Электрондық пошта табылмады"""
10,Пароль слишком слабый,Password is too weak,Құпиясөз тым әлсіз
11,Введите код,Enter a code,Кодты енгізіңіз
12,"""Войти с устройства родителя""","""Sign In in a parent’s device""","""Ата-ананың құрылғысында кіру"""
13,Добавить ребёнка,Add a child,Бала қосу
14,"""Нажмите «Привязать»""","""Click «Bind»""","""«Байлау» батырмасын басыңыз"""
15,Введите сгенерированный код,Enter the generated code,Құрылған кодты енгізіңіз
16,Войти,Login,Кіру
17,Выберите язык,Select language,Тілді таңдаңыз
18,"""Кто вы?""","""Who are you?""","""Сіз кімсіз?"""
19,Ребенок,Child,Бала
20,"""Забыли пароль?""","""Forgot password?""","""Құпиясөзді ұмыттыңыз ба?"""
21,"""Нет аккаунта?""","""Do not have an account?""","""Аккаунтыңыз жоқ па?"""
22,Войти,Login,Кіру
23,"""Вы успешно зарегистрировались!""","""You have successfully registered!""","""Сіз сәтті тіркелдіңіз!"""
24,"""Отлично!""","""Great!""","""Тамаша!"""
25,"""Что-то пошло не так""","""Something went wrong""","""Бірдеңе дұрыс болмады"""
26,Попробовать снова,Try again,Қайтадан көру
27,Профиль,Profile,Профиль
28,Личные данные,Personal information,Жеке мәліметтер
29,Настройки доступов,Access settings,Қол жеткізу параметрлері
30,Язык приложения,App language,Қосымша тілі
31,Выйти,Log out,Шығу
32,Удалить профиль,Delete profile,Профильді жою
33,Загрузить фото,Upload photo,Фотосурет жүктеу
34,Удалить,Delete,Жою
35,Роль,Role,Рөлі
36,Имя,Name,Аты
37,"""Эл. почта""","""Email""","""Эл. пошта"""
38,Пароль,Password,Құпиясөз
39,Изменить данные,Edit information,Мәліметтерді өзгерту
40,Уведомления,Notifications,Хабарламалар
41,Разрешение для отправки уведомлений на ваше устройство,Permission to send notifications to your device,Құрылғыңызға хабарлама жіберуге рұқсат
42,Экранное время,Screen time,Экран уақыты
43,Позволяет узнать как вы проводите время за своим устройством,Allows you to see how you spend time on your device,Құрылғыны қалай пайдаланатыныңызды бақылауға мүмкіндік береді
44,Вывести оверлей,Show overlay,Қабаттасуды көрсету
45,Позволяет приложению показывать наложение поверх других приложений,Allows the app to display an overlay over other apps,Қосымшаға басқа қолданбалардың үстінен қабаттасуды көрсетуге мүмкіндік береді
46,Будильник и напоминание,Alarm and reminder,Оятқыш және еске салу
47,Позволяет приложение планировать периоды блокировки,Allows the app to schedule lock periods,Қолданбаға бұғаттау кезеңдерін жоспарлауға мүмкіндік береді
48,Инструкция,Instructions,Нұсқаулық
49,Нажмите на индикатор разрешения,Tap the permission indicator,Рұқсат индикаторын басыңыз
50,"Вас перекинет в настройки телефона, на страницу разрешения доступов",You will be redirected to the phone's permission settings page,Сіз рұқсаттар баптауларына бағытталасыз
51,Затем разрешите получения уведомлений,Then allow notifications,Содан кейін хабарламаларға рұқсат беріңіз
52,"""Если доступ был дан индикатор поменят свое положение.""","""If access is granted, the indicator will change its position""","""Егер рұқсат берілсе, индикатордың күйі өзгереді"""
53,Чат,Chat,Чат
54,Меню,Menu,Меню
55,Ограничения времени,Time limits,Уақыт шектеулері
56,Экранное время,Screen time,Экран уақыты
57,Установите дневной лимит времени использования устройства,Set a daily device usage time limit,Құрылғыны пайдалануға арналған күндік уақыт лимитін орнатыңыз
58,Запланированная блокировка,Scheduled lock,Жоспарланған бұғаттау
59,Настройте недоступный временной диапазон,Set an unavailable time range,Қолжетімсіз уақыт аралығын орнатыңыз
60,"""При достижении лимита времени все приложения на устройстве ребенка будут заблокированы, за исключением разрешенных""","""When the time limit is reached, all apps on the child’s device will be blocked, except for the allowed ones""","""Уақыт лимитіне жеткенде, баланың құрылғысындағы барлық қолданбалар бұғатталады, рұқсат етілгендерден басқа"""
61,Включить лимит времени,Enable time limit,Уақыт шектеуін қосу
62,"""Ребенку разрешено использовать устройство:""","""The child is allowed to use the device:""","""Балаға құрылғыны пайдалану рұқсат етілген:"""
63,Готово,Done,Дайын
64,Отменить,Cancel,Бас тарту
65,0 ч 00 мин в день,0 h 00 min per day,Күніне 0 сағ 00 мин
66,Редактировать,Edit,Өңдеу
